record_type,seed,S,A,gamma,K,L_z,n,sigma_xi,alpha,beta,candidate_mode,value_error,decomposition_bound,finite_depth_residual,finite_depth_residual_bound,eps_res_star,eps_res_n,eps_A_cand,eps_A_bound,eta_pi,eta_pi_alpha,Lhat_pi_alpha,eps_CPI,penalty_decomp,penalty_exact_A,certificate_holds_decomp,certificate_holds_exact_A
value_curve,0,64,4,0.9,3,0.2,1,0.05,0.0,0.0,none,0.5789471056144722,1.0145276379304784,0.27448507974194847,1.0128600728485186,0.11265912286242064,0.27448507974194847,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,2,0.05,0.0,0.0,none,0.19666850296103888,0.5354785840065257,0.13925596034868626,0.5138596322829753,0.11265912286242064,0.13925596034868626,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,3,0.05,0.0,0.0,none,0.1226552971800654,0.43966877322173514,0.1131770480008365,0.41762748339792083,0.11265912286242064,0.1131770480008365,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,4,0.05,0.0,0.0,none,0.1216509477211555,0.42050681106477705,0.1127627078901039,0.41609855310001453,0.11265912286242064,0.1127627078901039,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,5,0.05,0.0,0.0,none,0.1214500778293735,0.41667441863338545,0.11267983986795738,0.4157927670404333,0.11265912286242064,0.11267983986795738,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,6,0.05,0.0,0.0,none,0.1214099038510171,0.41590794014710714,0.11266326626352796,0.4157316098285166,0.11265912286242064,0.11266326626352796,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,7,0.05,0.0,0.0,none,0.12140186905534586,0.41575464444985144,0.11265995154264219,0.4157193783861337,0.11265912286242064,0.11265995154264219,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,8,0.05,0.0,0.0,none,0.12140026209621158,0.41572398531040033,0.11265928859846508,0.41571693209765725,0.11265912286242064,0.11265928859846508,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,9,0.05,0.0,0.0,none,0.12139994070438473,0.4157178534825101,0.1126591560096295,0.4157164428399614,0.11265912286242064,0.1126591560096295,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.2,10,0.05,0.0,0.0,none,0.12139987642601938,0.415716627116932,0.11265912949186252,0.41571634498842275,0.11265912286242064,0.11265912949186252,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
